Tweets,SentimentAnalysis,SentimentScore
@tedlieu @realdonaldtrump @tedlieu tweeting hate bait. and the haters are more than happy to enroll #hate #hatebait #hatetweet,Negative,0.267
#hate speech could prevent political activist from speaking in new zealand https://t.co/vzjtxjfpgn https://t.co/dfsqchbwtw,Positive,0.084
à demain @louane pour ton concert à rennes ❤️🙏 #hâte 🔥,Negative,0.231
rdv pris le 28.02.19 pour aller voir @amir_off en famille depuis le temps qu'on attendait une date à caen 🤗😍 #hate… https://t.co/5plcmbxhzw,Neutral,1.0
"rt @croixrouge: aidez-nous à sauver des vies !
du 9 au 17 juin ce sont les journées nationales de la croix-rouge française ! #hâte ! 👵💪🚑🏥👍…",Neutral,1.0
rt @coachcoreywayne: #wesleysnipes #hollywood #actor #wisdom #attitudes #relationships #hate #energy #success #coachcoreywayne #greatquotes…,Neutral,1.0
"rt @meekchirps: #shinzoabe

""president trump is one of the world leaders who understands the issue [of japanese citizens abducted by #north…",Negative,0.142
"rt @elisabethlapenn: @patrickbrueloff
après l'huile h, le miel, le vin, les cosmétiques ... #hate
«quand je veux faire quelque chose, je m’…",Neutral,1.0
seems like i made the right choice when i decided to swear off @starbucks . i quit them  because they #hate #poc .t… https://t.co/d5vikjnqyj,Positive,0.115
"@rpoghaziabad @passportsevamea @sushmaswaraj there is no one to hear me out, no response from police station, no re… https://t.co/rohzb77ae3",Negative,0.292
my manager had me in tears this morning #hate&amp;loveher,Negative,0.192
rt @jamesbryronlove: out of the frame -#love #hate #desire  #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/3riodicclx htt…,Neutral,1.0
out of the frame -#love #hate #desire  #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/3riodicclx https://t.co/pt9pqhevr0,Neutral,1.0
"https://t.co/stvbxecoxf

#leonidas #leonidasoxford #oxford #exsnohs #exes #hoes #love #hate… https://t.co/hkhtltqcua",Neutral,1.0
#hate won’t stop. so i’ve come to a partial(obvious) conclusion that so many are just angry. really angry. so angry… https://t.co/exxogiyfvf,Negative,0.341
"rt @vancityreynolds: i want to shut this disgusting rumor down before i start it. yes, there’s a scene in #deadpool2 in which i have adorab…",Neutral,0.692
deadpool war nice :d mit @charenesie #deadpool2 https://t.co/s6t5eoeomr,Positive,0.407
rt @racheljpierce: thanos: marvel’s second favorite josh brolin #deadpool2 https://t.co/ienzejswlq,Positive,0.25
rt @universoxmen: #deadpool2: casalsão da porra! ❤️ #justinbieber #yukio #xmen #marvel https://t.co/iufisja4xu,Neutral,1.0
"rt @nemraps: saw #deadpool2 last night. funniest movie of the year. but yeah, we back at it again.
20th time watching #infinitywar https://…",Positive,0.195
rt @racheljpierce: thanos: marvel’s second favorite josh brolin #deadpool2 https://t.co/ienzejswlq,Positive,0.25
rt @universoxmen: #deadpool2: casalsão da porra! ❤️ #justinbieber #yukio #xmen #marvel https://t.co/iufisja4xu,Neutral,1.0
"rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",Positive,0.144
rt @universoxmen: #deadpool2: casalsão da porra! ❤️ #justinbieber #yukio #xmen #marvel https://t.co/iufisja4xu,Neutral,1.0
filmpje met de mannen @daaaanm @roybelde @kaasie89 @thomvegeraat @briankruf #deadpool2 #kinepolisanvers,Neutral,1.0
"rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",Positive,0.144
"rt @frikinexo: ¿has visto ya #deadpool2? sé lo que es, tienes ganas de más... pero eh, ¿has visto los cómics que tenemos? 😍 

¿quién ganarí…",Positive,0.111
vi #deadpool2 el fin de semana no sé qué ponerme en los ojos doctor. @sobremesaeu,Negative,0.136
"just saw #deadpool2, bloody awesome! but! now i need a domino movie, with this version of domino! zazie beetz was b… https://t.co/ean117cttq",Positive,0.147
#deadpool2: casalsão da porra! ❤️ #justinbieber #yukio #xmen #marvel https://t.co/iufisja4xu,Neutral,1.0
#gamma #markxxvi is one of my favorite armors because he’s so different than the rest on my shelf #ironman… https://t.co/f5ycbrpfqi,Positive,0.136
rt @agentsofshield: taking back what is theirs. don't miss the 2-hour #marvel’s @cloakanddagger series premiere tonight at 8/7c on @freefor…,Positive,0.071
"rt @cloakanddagger: ready for the series premiere of #marvel’s #cloakanddagger?
@complex shares a sneak peek. https://t.co/eb8cmhoce6",Positive,0.266
"rt @dailyxmenfacts: today: alpha flight’s publication history &amp; original line up, with a bit about it’s present day standing as a space pro…",Positive,0.103
"rt @sheerazhasan: muslim superhero film by @marvel 'in the works'. @priyankachopra might play female character kamala khan, who first appea…",Positive,0.112
"rt @cloakanddagger: have you used our #marvel's cloak &amp; dagger lens on snapchat yet? show us your lens using #cloakanddagger, and we may sh…",Neutral,1.0
"rt @sheerazhasan: muslim superhero film by @marvel 'in the works'. @priyankachopra might play female character kamala khan, who first appea…",Positive,0.112
"rt @comicbookuni: @jasonaaron is clearly playing the long game, here. way back in the ""god butcher"" story, he planned this ""asgardians of t…",Positive,0.248
"rt @gacelacardona: así se ven los héroes de #marvel convertidos en chicas... jajajajajajajajajaja 🤣🤣 ¡no qué video con iron man y con ""rock…",Neutral,1.0
rt @tntla: #noticiastnt: ¡@tomholland1996 cumplió 22 años!😍😍 ¿qué le regalarías para su cumpleaños? 😱😬 #marvel #spiderman https://t.co/9fgd…,Neutral,1.0
"rt @tinymintywolf: a tea party for ants! ☕🐜
#antman #marvel https://t.co/2tazezdyul",Positive,0.249
rt @ew: 'marvel's #cloakanddagger' stars pick their #marvel superhero fantasy teams: https://t.co/hadkwtzxhh https://t.co/j7wstvww4i,Neutral,1.0
"for sale: ms. marvel #1 (carol danvers as #msmarvel)

buy it now: https://t.co/xotlsgikbs
#comics #captainmarvel… https://t.co/w3qpvyxkhh",Positive,0.157
rt @radiodisney: here's a message from @olivia_holt and her co-star @aubreyomari! their show #marvel’s @cloakanddagger premieres tonight at…,Neutral,1.0
"trump is turning pardon power into reality tv

https://t.co/mha869nivi
#donaldtrump #narcissist #misogynist… https://t.co/hequ87rtx8",Positive,0.161
"trump: ""i don't have to prepare very much for the upcoming meeting with north korea. it all comes down to attitude""… https://t.co/hxauzrbrsd",Neutral,1.0
rt @zeusfanhouse: @lionelmedia @realdonaldtrump can you see the #coded #message here? #donaldtrump is a #certifiable #genius. it is so obvi…,Neutral,1.0
rt @theinquisitr: rich madaleno aims to 'piss off @realdonaldtrump' by kissing husband in ad for maryland governor race.  #donaldtrump #new…,Positive,0.27
rt @zeusfanhouse: @lionelmedia @realdonaldtrump can you see the #coded #message here? #donaldtrump is a #certifiable #genius. it is so obvi…,Neutral,1.0
"rt @kvvkwiatkowski: @realdonaldtrump bravo = best president since reagan.

there is also economic growth in #poland 
 
everywhere patriots…",Positive,0.312
rich madaleno aims to 'piss off @realdonaldtrump' by kissing husband in ad for maryland governor race.… https://t.co/vm3iw8ffzy,Positive,0.304
president trump abruptly cancels eagles’ white house visit over anthem - mlive #donaldtrump #syndicated… https://t.co/pspf4oujqu,Negative,0.128
"hahahaha! 😂

#donaldtrump
#godblessamerica
#patriotism
#america
#murica
#thursdaythoughts https://t.co/4atifos5ug",Positive,0.241
